model,k,source_class,target_class,source_count,target_count,metric,observed,null_mean,null_95_interval,standardized_effect,one_sided_attraction_p_value,attraction_q_value_bh,one_sided_avoidance_p_value,avoidance_q_value_bh,permutation_count
candidate_type_label_permutation,1,broken,missing,13,215,mean_target_neighbor_fraction,0.38461538461538464,0.948123076923077,"[0.7692307692307693,1.0]",-7.334463039416738,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,1,broken,missing,13,215,source_with_target_neighbor_fraction,0.38461538461538464,0.948123076923077,"[0.7692307692307693,1.0]",-7.334463039416738,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,1,missing,broken,215,13,mean_target_neighbor_fraction,0.027906976744186046,0.05749302325581396,"[0.03255813953488372,0.08372093023255814]",-2.3615890294800095,0.9958004199580042,1.0,0.0115988401159884,0.013255817275415315,10000
candidate_type_label_permutation,1,missing,broken,215,13,source_with_target_neighbor_fraction,0.027906976744186046,0.05749302325581396,"[0.03255813953488372,0.08372093023255814]",-2.3615890294800095,0.9958004199580042,1.0,0.0115988401159884,0.013255817275415315,10000
candidate_type_label_permutation,3,broken,missing,13,215,mean_target_neighbor_fraction,0.48717948717948717,0.9481435897435898,"[0.846153846153846,1.0]",-9.827643425850404,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,3,broken,missing,13,215,source_with_target_neighbor_fraction,0.9230769230769231,0.9998846153846153,"[1.0,1.0]",-25.800516790689766,1.0,1.0,0.0015998400159984002,0.0021331200213312003,10000
candidate_type_label_permutation,3,missing,broken,215,13,mean_target_neighbor_fraction,0.018604651162790697,0.057344651162790694,"[0.04496124031007752,0.0697674418604651]",-6.4079398347960925,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,3,missing,broken,215,13,source_with_target_neighbor_fraction,0.04186046511627907,0.16322511627906977,"[0.13023255813953488,0.2]",-6.695662929209667,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,5,broken,missing,13,215,mean_target_neighbor_fraction,0.5230769230769231,0.947809230769231,"[0.8615384615384616,1.0]",-11.62260717747692,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,5,broken,missing,13,215,source_with_target_neighbor_fraction,1.0,1.0,"[1.0,1.0]",,1.0,1.0,1.0,1.0,10000
candidate_type_label_permutation,5,missing,broken,215,13,mean_target_neighbor_fraction,0.029767441860465118,0.05734427906976743,"[0.046511627906976744,0.06790697674418605]",-5.0103391401159705,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,5,missing,broken,215,13,source_with_target_neighbor_fraction,0.07441860465116279,0.2581227906976744,"[0.20453488372093034,0.31627906976744186]",-6.418846030679903,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,10,broken,missing,13,215,mean_target_neighbor_fraction,0.5538461538461539,0.9477907692307693,"[0.8923076923076921,0.9923076923076923]",-15.17130550917838,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,10,broken,missing,13,215,source_with_target_neighbor_fraction,1.0,1.0,"[1.0,1.0]",,1.0,1.0,1.0,1.0,10000
candidate_type_label_permutation,10,missing,broken,215,13,mean_target_neighbor_fraction,0.03488372093023256,0.05734088372093022,"[0.04790697674418605,0.06604651162790696]",-4.9723190994848085,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
candidate_type_label_permutation,10,missing,broken,215,13,source_with_target_neighbor_fraction,0.11162790697674418,0.4536023255813954,"[0.35348837209302325,0.5488372093023256]",-7.0138129440886585,1.0,1.0,9.999000099990002e-05,0.0001454400014544,10000
boundary_orientation_stratified_type_permutation,1,broken,missing,13,215,mean_target_neighbor_fraction,0.38461538461538464,0.7443,"[0.46153846153846156,0.9230769230769231]",-3.1070240251392907,0.9991000899910009,1.0,0.0053994600539946005,0.010798920107989201,10000
boundary_orientation_stratified_type_permutation,1,broken,missing,13,215,source_with_target_neighbor_fraction,0.38461538461538464,0.7443,"[0.46153846153846156,0.9230769230769231]",-3.1070240251392907,0.9991000899910009,1.0,0.0053994600539946005,0.010798920107989201,10000
boundary_orientation_stratified_type_permutation,1,missing,broken,215,13,mean_target_neighbor_fraction,0.027906976744186046,0.043846046511627906,"[0.023255813953488372,0.06511627906976744]",-1.4123105503574551,0.951004899510049,1.0,0.11298870112988701,0.13906301677524555,10000
