anchor_strut_id,human_label,neighbor_strut_id,neighbor_prediction,similarity_distance,label_agrees,neighbor_occupancy,neighbor_gap_fraction,neighbor_thickness_um,neighbor_centerline_displacement_voxels,neighbor_length_voxels
1523,uncertain,3536,uncertain,0.2873925595821307,True,0.2558139534883721,0.32571428571428573,341.0251425824663,4.687726836079592,55.845609949697355
1523,uncertain,1303,uncertain,0.32172771323360577,True,0.4651162790697674,0.19904761904761903,376.37880770421464,4.6997028703101735,55.84560994969748
1523,uncertain,3319,uncertain,0.33626953054747016,True,0.7674418604651163,0.036190476190476197,373.1719999508044,4.625241887122826,55.84560994969747
1523,uncertain,1743,uncertain,0.480750064369799,True,0.6511627906976745,0.12666666666666668,,4.702054599252153,55.84560994969747
1523,uncertain,643,uncertain,0.5112138745611554,True,0.9767441860465116,0.018095238095238095,,4.691224447232244,55.84560994969748
1523,uncertain,3096,uncertain,0.5319129905675655,True,0.6976744186046512,0.09047619047619047,,4.623463770265088,55.845609949697305
1523,uncertain,5332,uncertain,0.5356973018014148,True,0.5813953488372093,0.09047619047619049,,4.644527660859549,55.845609949697334
1523,uncertain,5335,uncertain,0.5692113004301996,True,0.9069767441860463,0.03619047619047618,,4.601743996434165,55.845609949697476
1523,uncertain,5772,uncertain,0.5785758502717153,True,0.7209302325581395,0.12666666666666665,,4.64706713194105,55.845609949697355
1523,uncertain,3099,uncertain,0.5802560662503919,True,0.9302325581395348,0.03619047619047619,,4.609962979062201,55.845609949697575
1523,uncertain,1083,uncertain,0.5934681190300357,True,0.7441860465116279,0.12666666666666668,,4.674123045659973,55.845609949697604
1523,uncertain,4495,broken,0.6073522599439096,False,0.4883720930232558,0.19904761904761908,376.5469372618138,4.279569657372748,55.8456099496974
1523,uncertain,3539,uncertain,0.6512726531808102,True,0.9069767441860463,0.036190476190476197,282.0596012625194,4.642338940748125,55.84560994969747
1523,uncertain,9866,uncertain,0.6654835758967073,True,0.0232558139534883,0.7599999999999999,356.44774657759905,3.250884782011693,55.845609949697476
1523,uncertain,7351,uncertain,0.6673945323081352,True,0.5581395348837209,0.10857142857142858,,4.743116232573329,55.84560994969752
