iteration,method,threshold,offset,sample_slices,foreground_fraction_mean,foreground_fraction_min,foreground_fraction_max,largest_component_fraction_mean,small_component_pixel_fraction_mean,component_count_mean,visual_assessment,selected
1,global_otsu,38341.0,0,80;160;240;320;380;440;520;600;680,0.05247064246558496,0.045796043421216584,0.06807836928557293,0.025645138875142956,0.0016268478639650424,621.5555555555555,Thin/disconnected struts in visual review,False
2,global_li,36219.53636580904,0,80;160;240;320;380;440;520;600;680,0.07273371398973352,0.06208559638205393,0.10356150728206932,0.05520085233952729,0.0013790397086779326,605.6666666666666,Improved retention but incomplete faint struts,False
3,global_triangle,33713.0,0,80;160;240;320;380;440;520;600;680,0.15736697182702855,0.10099757386517727,0.478908752409643,0.18296181300957018,0.0033279710929672063,759.3333333333334,Good strut retention; some low-intensity haze,False
4,global_triangle_plus_offset,34213.0,500,80;160;240;320;380;440;520;600;680,0.12546382827623892,0.08931987598126526,0.31882636644164447,0.1471754255167321,0.003279992503052966,739.8888888888889,Selected: retained struts with less haze,True
