model,k,source_class,target_class,source_count,target_count,metric,observed,null_mean,null_95_interval,standardized_effect,one_sided_attraction_p_value,attraction_q_value_bh,one_sided_avoidance_p_value,avoidance_q_value_bh,permutation_count
all_strut_label_permutation,1,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004653846153846155,"[0.0,0.07692307692307693]",-0.24690844085132713,1.0,1.0,0.9411058894110589,1.0,10000
all_strut_label_permutation,1,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.004653846153846155,"[0.0,0.07692307692307693]",-0.24690844085132713,1.0,1.0,0.9411058894110589,1.0,10000
all_strut_label_permutation,1,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.6923076923076923,0.800523076923077,"[0.5384615384615384,1.0]",-0.977625058617654,0.9015098490150985,1.0,0.2512748725127487,1.0,10000
all_strut_label_permutation,1,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,0.6923076923076923,0.800523076923077,"[0.5384615384615384,1.0]",-0.977625058617654,0.9015098490150985,1.0,0.2512748725127487,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.07692307692307693,0.0007,"[0.0,0.0]",10.211020827395055,0.008999100089991,0.031996800319968,0.9998000199980002,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.07692307692307693,0.0007,"[0.0,0.0]",10.211020827395055,0.008999100089991,0.031996800319968,0.9998000199980002,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.0,0.012184615384615384,"[0.0,0.07692307692307693]",-0.406141242886764,1.0,1.0,0.8507149285071492,1.0,10000
all_strut_label_permutation,1,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.0,0.012184615384615384,"[0.0,0.07692307692307693]",-0.406141242886764,1.0,1.0,0.8507149285071492,1.0,10000
all_strut_label_permutation,1,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.004651162790697674,0.004843720930232558,"[0.0,0.018604651162790697]",-0.033508417864649025,0.5489451054894511,0.9514291814061837,0.7002299770022997,1.0,10000
all_strut_label_permutation,1,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.004651162790697674,0.004843720930232558,"[0.0,0.018604651162790697]",-0.033508417864649025,0.5489451054894511,0.9514291814061837,0.7002299770022997,1.0,10000
all_strut_label_permutation,1,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.8418604651162791,0.802400465116279,"[0.7395348837209302,0.8651162790697674]",1.211768842031619,0.1262873712628737,0.27870316416634194,0.9035096490350965,1.0,10000
all_strut_label_permutation,1,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,0.8418604651162791,0.802400465116279,"[0.7395348837209302,0.8651162790697674]",1.211768842031619,0.1262873712628737,0.27870316416634194,0.9035096490350965,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_broken,215,13,mean_target_neighbor_fraction,0.013953488372093023,0.0006665116279069768,"[0.0,0.009302325581395349]",6.294595192413872,0.0033996600339966003,0.0181315201813152,0.9997000299970003,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_broken,215,13,source_with_target_neighbor_fraction,0.013953488372093023,0.0006665116279069768,"[0.0,0.009302325581395349]",6.294595192413872,0.0033996600339966003,0.0181315201813152,0.9997000299970003,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_missing,215,215,mean_target_neighbor_fraction,0.013953488372093023,0.011653953488372093,"[0.0,0.03255813953488372]",0.26072494940453617,0.44025597440255976,0.8805119488051195,0.7316268373162683,1.0,10000
all_strut_label_permutation,1,unintentional_missing,unintentional_missing,215,215,source_with_target_neighbor_fraction,0.013953488372093023,0.011653953488372093,"[0.0,0.03255813953488372]",0.26072494940453617,0.44025597440255976,0.8805119488051195,0.7316268373162683,1.0,10000
all_strut_label_permutation,3,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004805128205128205,"[0.0,0.02564102564102564]",-0.42063930800207794,1.0,1.0,0.833916608339166,1.0,10000
all_strut_label_permutation,3,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.01430769230769231,"[0.0,0.07692307692307693]",-0.4227229057776621,1.0,1.0,0.833916608339166,1.0,10000
all_strut_label_permutation,3,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.7179487179487178,0.8022435897435897,"[0.6666666666666666,0.9230769230769229]",-1.3015292511526042,0.9301069893010699,1.0,0.10308969103089691,0.9425343179967717,10000
all_strut_label_permutation,3,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,1.0,0.992523076923077,"[0.9230769230769231,1.0]",0.31184589713115723,0.9074092590740926,1.0,1.0,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.02564102564102564,0.0007564102564102564,"[0.0,0.02564102564102564]",5.509426599172674,0.028397160283971604,0.0757257607572576,0.9988001199880012,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.07692307692307693,0.0022692307692307695,"[0.0,0.07692307692307693]",5.509426599172673,0.028397160283971604,0.0757257607572576,0.9988001199880012,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.07692307692307693,0.011997435897435897,"[0.0,0.05128205128205128]",3.633750572170335,0.015498450154984501,0.049595040495950406,0.9978002199780022,1.0,10000
all_strut_label_permutation,3,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.23076923076923078,0.03561538461538462,"[0.0,0.15384615384615385]",3.702048370555661,0.014298570142985701,0.04816360469216236,0.9985001499850015,1.0,10000
all_strut_label_permutation,3,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.004651162790697674,0.004822790697674419,"[0.0,0.012403100775193798]",-0.049147867757119414,0.5500449955004499,0.9514291814061837,0.6149385061493851,1.0,10000
all_strut_label_permutation,3,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.013953488372093023,0.014394418604651162,"[0.0,0.037209302325581395]",-0.04246805087840474,0.5487451254874512,0.9514291814061837,0.6166383361663834,1.0,10000
all_strut_label_permutation,3,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.8744186046511628,0.8025373643410852,"[0.7627906976744186,0.8418604651162791]",3.563656827713558,0.00019998000199980003,0.0018283885897124575,0.9999000099990001,1.0,10000
all_strut_label_permutation,3,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,0.9813953488372092,0.992313488372093,"[0.9767441860465116,1.0]",-1.7693624053773327,0.9671032896710329,1.0,0.08809119088091191,0.9396393693963937,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_broken,215,13,mean_target_neighbor_fraction,0.006201550387596899,0.0006764341085271317,"[0.0,0.004651162790697674]",4.223560653540166,0.008999100089991,0.031996800319968,0.9987001299870013,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_broken,215,13,source_with_target_neighbor_fraction,0.018604651162790697,0.0020279069767441863,"[0.0,0.013953488372093023]",4.226999694472306,0.008999100089991,0.031996800319968,0.9987001299870013,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_missing,215,215,mean_target_neighbor_fraction,0.012403100775193798,0.011607131782945737,"[0.0015503875968992248,0.023255813953488372]",0.1458344985831098,0.46815318468153183,0.9079334490793345,0.6314368563143685,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_missing,215,215,source_with_target_neighbor_fraction,0.027906976744186046,0.03440744186046511,"[0.004651162790697674,0.06976744186046512]",-0.4052101626550564,0.6839316068393161,1.0,0.42685731426857315,1.0,10000
all_strut_label_permutation,5,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004876923076923077,"[0.0,0.03076923076923077]",-0.5241918332779621,1.0,1.0,0.7464253574642535,1.0,10000
all_strut_label_permutation,5,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.02410769230769231,"[0.0,0.15384615384615385]",-0.5276509730331358,1.0,1.0,0.7464253574642535,1.0,10000
all_strut_label_permutation,5,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.7076923076923077,0.8019584615384616,"[0.6923076923076923,0.9076923076923076]",-1.7743158919201174,0.952004799520048,1.0,0.057394260573942604,0.7346465353464653,10000
all_strut_label_permutation,5,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,1.0,0.9997538461538461,"[1.0,1.0]",0.056659269967018845,0.9968003199680032,1.0,1.0,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.04615384615384616,0.0007338461538461539,"[0.0,0.015384615384615385]",12.472992980595604,0.00019998000199980003,0.0018283885897124575,1.0,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.15384615384615385,0.0036692307692307692,"[0.0,0.07692307692307693]",8.248153709317073,0.0051994800519948,0.023769051666261944,0.9999000099990001,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.04615384615384616,0.011829230769230769,"[0.0,0.04615384615384616]",2.365901450803368,0.05579442055794421,0.13225344132253442,0.9879012098790121,1.0,10000
