model,k,source_class,target_class,source_count,target_count,metric,observed,null_mean,null_95_interval,standardized_effect,one_sided_attraction_p_value,attraction_q_value_bh,one_sided_avoidance_p_value,avoidance_q_value_bh,permutation_count
all_strut_label_permutation,3,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,0.9813953488372092,0.992313488372093,"[0.9767441860465116,1.0]",-1.7693624053773327,0.9671032896710329,1.0,0.08809119088091191,0.445092332871976,10000
all_strut_label_permutation,3,unintentional_missing,review_required,215,677,mean_target_neighbor_fraction,0.017054263565891473,0.036597519379844956,"[0.018604651162790697,0.05581395348837209]",-2.050119568154863,0.9881011898810119,1.0,0.0165983401659834,0.14485824144858242,10000
all_strut_label_permutation,3,unintentional_missing,review_required,215,677,source_with_target_neighbor_fraction,0.046511627906976744,0.1058479069767442,"[0.05581395348837209,0.16279069767441862]",-2.212103802108775,0.9949005099490051,1.0,0.0105989401059894,0.10174982501749825,10000
all_strut_label_permutation,3,unintentional_missing,uncertain,215,2654,mean_target_neighbor_fraction,0.08527131782945736,0.14375875968992247,"[0.10852713178294575,0.17984496124031005]",-3.2560665126546278,0.9997000299970003,1.0,0.00039996000399960006,0.0047995200479952005,10000
all_strut_label_permutation,3,unintentional_missing,uncertain,215,2654,source_with_target_neighbor_fraction,0.20930232558139536,0.3721962790697675,"[0.28837209302325584,0.4511627906976744]",-3.9068762529682894,0.9999000099990001,1.0,0.00019998000199980003,0.002742582884568686,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_broken,215,13,mean_target_neighbor_fraction,0.006201550387596899,0.0006764341085271317,"[0.0,0.004651162790697674]",4.223560653540166,0.008999100089991,0.047995200479952004,0.9987001299870013,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_broken,215,13,source_with_target_neighbor_fraction,0.018604651162790697,0.0020279069767441863,"[0.0,0.013953488372093023]",4.226999694472306,0.008999100089991,0.047995200479952004,0.9987001299870013,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_missing,215,215,mean_target_neighbor_fraction,0.012403100775193798,0.011607131782945737,"[0.0015503875968992248,0.023255813953488372]",0.1458344985831098,0.46815318468153183,1.0,0.6314368563143685,1.0,10000
all_strut_label_permutation,3,unintentional_missing,unintentional_missing,215,215,source_with_target_neighbor_fraction,0.027906976744186046,0.03440744186046511,"[0.004651162790697674,0.06976744186046512]",-0.4052101626550564,0.6839316068393161,1.0,0.42685731426857315,1.0,10000
all_strut_label_permutation,5,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004876923076923077,"[0.0,0.03076923076923077]",-0.5241918332779621,1.0,1.0,0.7464253574642535,1.0,10000
all_strut_label_permutation,5,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.02410769230769231,"[0.0,0.15384615384615385]",-0.5276509730331358,1.0,1.0,0.7464253574642535,1.0,10000
all_strut_label_permutation,5,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.7076923076923077,0.8019584615384616,"[0.6923076923076923,0.9076923076923076]",-1.7743158919201174,0.952004799520048,1.0,0.057394260573942604,0.3167683231676832,10000
all_strut_label_permutation,5,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,1.0,0.9997538461538461,"[1.0,1.0]",0.056659269967018845,0.9968003199680032,1.0,1.0,1.0,10000
all_strut_label_permutation,5,unintentional_broken,review_required,13,677,mean_target_neighbor_fraction,0.015384615384615385,0.03641538461538462,"[0.0,0.0923076923076923]",-0.8522286551049745,0.8894110588941105,1.0,0.3277672232776722,1.0,10000
all_strut_label_permutation,5,unintentional_broken,review_required,13,677,source_with_target_neighbor_fraction,0.07692307692307693,0.1690923076923077,"[0.0,0.38461538461538464]",-0.8370803703318609,0.8894110588941105,1.0,0.34536546345365465,1.0,10000
all_strut_label_permutation,5,unintentional_broken,uncertain,13,2654,mean_target_neighbor_fraction,0.1846153846153846,0.14418615384615385,"[0.06153846153846154,0.24615384615384617]",0.852610453736167,0.23617638236176383,0.7557644235576443,0.7951204879512048,1.0,10000
all_strut_label_permutation,5,unintentional_broken,uncertain,13,2654,source_with_target_neighbor_fraction,0.5384615384615384,0.5405692307692308,"[0.23076923076923078,0.8461538461538461]",-0.014384343213117575,0.6151384861513849,1.0,0.5931406859314069,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.04615384615384616,0.0007338461538461539,"[0.0,0.015384615384615385]",12.472992980595604,0.00019998000199980003,0.002742582884568686,1.0,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.15384615384615385,0.0036692307692307692,"[0.0,0.07692307692307693]",8.248153709317073,0.0051994800519948,0.035653577499392915,0.9999000099990001,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.04615384615384616,0.011829230769230769,"[0.0,0.04615384615384616]",2.365901450803368,0.05579442055794421,0.19838016198380165,0.9879012098790121,1.0,10000
all_strut_label_permutation,5,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.23076923076923078,0.05770769230769231,"[0.0,0.23076923076923078]",2.4863084504704536,0.048795120487951205,0.18737326267373264,0.9905009499050095,1.0,10000
all_strut_label_permutation,5,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.00558139534883721,0.004803627906976744,"[0.0,0.011162790697674419]",0.28264633434845066,0.38866113388661133,1.0,0.7059294070592941,1.0,10000
all_strut_label_permutation,5,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.018604651162790697,0.0238,"[0.0,0.05116279069767442]",-0.3840072968546022,0.6903309669033096,1.0,0.45545445455454453,1.0,10000
all_strut_label_permutation,5,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.6958139534883719,0.802681488372093,"[0.7711627906976743,0.8334883720930232]",-6.692111120365746,1.0,1.0,9.999000099990002e-05,0.0015998400159984002,10000
all_strut_label_permutation,5,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,0.9906976744186047,0.9997088372093025,"[0.9953488372093023,1.0]",-7.665361243866264,1.0,1.0,0.0026997300269973002,0.028797120287971198,10000
all_strut_label_permutation,5,unintentional_missing,review_required,215,677,mean_target_neighbor_fraction,0.029767441860465118,0.036498883720930235,"[0.02232558139534884,0.051162790697674425]",-0.8969837506210385,0.8282171782821718,1.0,0.20627937206279373,0.8443155684431557,10000
all_strut_label_permutation,5,unintentional_missing,review_required,215,677,source_with_target_neighbor_fraction,0.11627906976744186,0.16961116279069766,"[0.10697674418604651,0.2372093023255814]",-1.611567699953526,0.9565043495650435,1.0,0.059394060593940604,0.3167683231676832,10000
all_strut_label_permutation,5,unintentional_missing,uncertain,215,2654,mean_target_neighbor_fraction,0.07441860465116279,0.14376,"[0.11720930232558137,0.17209302325581396]",-4.882595411146285,1.0,1.0,9.999000099990002e-05,0.0015998400159984002,10000
all_strut_label_permutation,5,unintentional_missing,uncertain,215,2654,source_with_target_neighbor_fraction,0.25116279069767444,0.5399637209302326,"[0.4558139534883721,0.6186046511627907]",-6.82654685888025,1.0,1.0,9.999000099990002e-05,0.0015998400159984002,10000
all_strut_label_permutation,5,unintentional_missing,unintentional_broken,215,13,mean_target_neighbor_fraction,0.00558139534883721,0.0006856744186046512,"[0.0,0.0037209302325581397]",4.648552760118705,0.0027997200279972004,0.027197280271972806,0.9992000799920008,1.0,10000
all_strut_label_permutation,5,unintentional_missing,unintentional_broken,215,13,source_with_target_neighbor_fraction,0.027906976744186046,0.003423720930232558,"[0.0,0.018604651162790697]",4.660953338655136,0.0029997000299970002,0.027197280271972806,0.9992000799920008,1.0,10000
all_strut_label_permutation,5,unintentional_missing,unintentional_missing,215,215,mean_target_neighbor_fraction,0.18883720930232556,0.01157032558139535,"[0.0037209302325581397,0.02046511627906977]",41.164925679926405,9.999000099990002e-05,0.0019198080191980803,1.0,1.0,10000
all_strut_label_permutation,5,unintentional_missing,unintentional_missing,215,215,source_with_target_neighbor_fraction,0.9116279069767442,0.0565353488372093,"[0.018604651162790697,0.09767441860465116]",41.33836827962725,9.999000099990002e-05,0.0019198080191980803,1.0,1.0,10000
all_strut_label_permutation,10,unintentional_broken,intentional_missing,13,89,mean_target_neighbor_fraction,0.0,0.004945384615384615,"[0.0,0.02307692307692308]",-0.7047496935731342,1.0,1.0,0.575042495750425,1.0,10000
all_strut_label_permutation,10,unintentional_broken,intentional_missing,13,89,source_with_target_neighbor_fraction,0.0,0.048446153846153854,"[0.0,0.23076923076923078]",-0.7127645880618848,1.0,1.0,0.575042495750425,1.0,10000
all_strut_label_permutation,10,unintentional_broken,present,13,14820,mean_target_neighbor_fraction,0.7153846153846154,0.8019607692307693,"[0.723076923076923,0.8769230769230771]",-2.1594689811305696,0.9803019698030196,1.0,0.023297670232976703,0.18638136186381363,10000
all_strut_label_permutation,10,unintentional_broken,present,13,14820,source_with_target_neighbor_fraction,1.0,1.0,"[1.0,1.0]",,1.0,1.0,1.0,1.0,10000
all_strut_label_permutation,10,unintentional_broken,review_required,13,677,mean_target_neighbor_fraction,0.03076923076923077,0.03646461538461539,"[0.007692307692307693,0.07692307692307693]",-0.30761984709448464,0.6712328767123288,1.0,0.49505049495050496,1.0,10000
all_strut_label_permutation,10,unintentional_broken,review_required,13,677,source_with_target_neighbor_fraction,0.15384615384615385,0.3105923076923077,"[0.07692307692307693,0.6153846153846154]",-1.0998572434962124,0.9186081391860814,1.0,0.21107889211078892,0.8443155684431557,10000
all_strut_label_permutation,10,unintentional_broken,uncertain,13,2654,mean_target_neighbor_fraction,0.16153846153846155,0.1442192307692308,"[0.07692307692307693,0.21538461538461545]",0.48965038681124856,0.33166683331666835,1.0,0.7228277172282772,1.0,10000
all_strut_label_permutation,10,unintentional_broken,uncertain,13,2654,source_with_target_neighbor_fraction,0.5384615384615384,0.7884692307692308,"[0.5384615384615384,1.0]",-2.0544141115672088,0.9835016498350165,1.0,0.051794820517948204,0.3107689231076892,10000
all_strut_label_permutation,10,unintentional_broken,unintentional_broken,13,13,mean_target_neighbor_fraction,0.038461538461538464,0.0006953846153846154,"[0.0,0.007692307692307693]",14.266557993481063,9.999000099990002e-05,0.0019198080191980803,1.0,1.0,10000
all_strut_label_permutation,10,unintentional_broken,unintentional_broken,13,13,source_with_target_neighbor_fraction,0.23076923076923078,0.006892307692307692,"[0.0,0.07692307692307693]",8.561042792597117,0.0017998200179982,0.021597840215978402,1.0,1.0,10000
all_strut_label_permutation,10,unintentional_broken,unintentional_missing,13,215,mean_target_neighbor_fraction,0.05384615384615384,0.011714615384615386,"[0.0,0.038461538461538464]",3.9271946590489706,0.005099490050994901,0.035653577499392915,0.997000299970003,1.0,10000
all_strut_label_permutation,10,unintentional_broken,unintentional_missing,13,215,source_with_target_neighbor_fraction,0.38461538461538464,0.11117692307692309,"[0.0,0.3076923076923077]",2.7784596658334038,0.0207979202079792,0.09507620666504778,0.9944005599440056,1.0,10000
all_strut_label_permutation,10,unintentional_missing,intentional_missing,215,89,mean_target_neighbor_fraction,0.004186046511627907,0.004815069767441861,"[0.0009302325581395349,0.010232558139534885]",-0.25602611790502944,0.5944405559444056,1.0,0.47595240475952405,1.0,10000
all_strut_label_permutation,10,unintentional_missing,intentional_missing,215,89,source_with_target_neighbor_fraction,0.027906976744186046,0.047139999999999994,"[0.009302325581395349,0.09767441860465116]",-0.8122189962988419,0.8118188181181882,1.0,0.256974302569743,0.913686409136864,10000
all_strut_label_permutation,10,unintentional_missing,present,215,14820,mean_target_neighbor_fraction,0.5465116279069767,0.802726,"[0.7739534883720931,0.8302325581395349]",-18.040882641501202,1.0,1.0,9.999000099990002e-05,0.0015998400159984002,10000
all_strut_label_permutation,10,unintentional_missing,present,215,14820,source_with_target_neighbor_fraction,1.0,1.0,"[1.0,1.0]",,1.0,1.0,1.0,1.0,10000
